player,squad,age,pos,min,gls_per90,ast_per90,xg_per90,xag_per90,sh_per90,sot_per90,prgc_per90,prgp_per90,tkl_per90,int_per90,clr_per90,blk_per90,aer_won_per90,saves_per90,psxg_net_per90,tm_match_name,actual_value_m,contract_years_left,age_clean,league_de Bundesliga,league_eng Premier League,league_es La Liga,league_fr Ligue 1,league_it Serie A,pos_clean_CAM,pos_clean_CB,pos_clean_CDM,pos_clean_CM,pos_clean_FULLBACK,pos_clean_GK,pos_clean_ST,pos_clean_WINGER,pos_clean,league,predicted_value_m,pred_value_low_m,pred_value_high_m,surplus_value_m
Kristian Thorstvedt,Sassuolo,27.0,MF,2682.0,0.132295719844358,0.132295719844358,0.0,0.0,1.4221789883268483,0.42996108949416345,0.0,0.0,0.0,1.0252918287937745,0.0,0.0,0.0,0.0,0.0,Kristian Thorstvedt,12.0,1.0,27.0,False,False,False,False,True,False,False,False,True,False,False,False,False,CM,it Serie A,8.03,2.77,18.05,-3.97
Marcus Thuram,Inter,29.0,FW,4329.0,0.6088882101405009,0.26664630421502744,0.1768937080024435,0.07861942577886379,2.8726328649969455,1.160048869883934,1.1078191814294442,0.9470067196090409,0.32162492364080636,0.07697006719609041,0.26802076970067196,0.21441661576053758,0.0,0.0,0.0,Marcus Thuram,50.0,2.0,29.0,False,False,False,False,True,False,False,False,False,False,False,True,False,ST,it Serie A,46.46,15.76,49.94,-3.54
Youri Tielemans,Manchester Utd,29.0,MF,5290.0,0.044412389918007895,0.18106589735803216,0.04885362890980868,0.10362890980868508,1.0567871242028546,0.313164287883389,0.5773610689341026,3.4789705435772853,1.243546917704221,0.6502429395687822,0.6957941087154571,0.5477528089887641,0.0,0.0,0.0,Youri Tielemans,30.0,2.0,29.0,False,True,False,False,False,False,False,False,True,False,False,False,False,CM,eng Premier League,29.44,11.96,32.23,-0.56
Phillip Tietz,Mainz 05,29.0,FW,3854.0,0.41049888060948303,0.09021953419988639,0.11924015103418317,0.02345707889197046,2.3261603234537374,0.984896581682093,0.15638052594646976,0.5668794065559528,0.2150232231763959,0.2766732382129849,0.5082367093260267,0.41049888060948303,0.0,0.0,0.0,Phillip Tietz,4.0,2.0,29.0,True,False,False,False,False,False,False,False,False,False,False,True,False,ST,de Bundesliga,5.48,3.81,16.5,1.48
Malik Tillman,Leverkusen,24.0,MF,1820.0,0.29256166741028744,0.10612531072726114,0.0,0.0,1.6578494486582955,0.6338836127222894,0.0,0.0,0.0,0.9264452801325769,0.0,0.0,0.0,0.0,0.0,Malik Tillman,30.0,4.0,24.0,True,False,False,False,False,True,False,False,False,False,False,False,False,CAM,de Bundesliga,18.91,7.54,25.77,-11.09
Jurriën Timber,Arsenal,25.0,DF,4975.0,0.0765763969209907,0.14836676903441948,0.018665496749491483,0.01244366449966099,0.7262792645475212,0.20460256052327205,0.8866110956008455,2.2709687711881306,0.9021656762254219,0.830375304111993,0.6844015474813545,0.38886451561440594,0.0,0.0,0.0,Jurriën Timber,70.0,2.0,25.0,False,True,False,False,False,False,True,False,False,False,False,False,False,CB,eng Premier League,59.69,17.11,63.6,-10.31
Corentin Tolisso,Lyon,32.0,MF,5013.0,0.3480811410624132,0.18688920325498695,0.08047916315167875,0.07440526404589168,1.8466989396633398,0.8094638615981622,0.47072718069849834,2.520668128901636,0.8655306225746584,0.6716330741976093,0.6225746583431753,0.6225746583431753,0.0,0.0,0.0,Corentin Tolisso,10.0,3.0,32.0,False,False,False,True,False,True,False,False,False,False,False,False,False,CAM,fr Ligue 1,10.05,6.56,12.41,0.05
Jeremy Toljan,Levante,32.0,DF,3431.0,0.02587606548504938,0.13394669192260858,0.0,0.0,0.23288458936544443,0.02587606548504938,0.0,0.0,0.0,0.8021580300365309,0.0,0.0,0.0,0.0,0.0,Jeremy Toljan,2.0,1.0,32.0,False,False,True,False,False,False,True,False,False,False,False,False,False,CB,es La Liga,3.01,1.26,5.57,1.01
Sandro Tonali,Tottenham,26.0,MF,5591.0,0.054540369196345334,0.0629311952265523,0.059994406115979865,0.029997203057989932,1.136956927093045,0.30626515010255456,0.5044984150661943,1.7452918142830507,0.695389707253403,0.9628472869662502,0.44995804586984894,0.368147492075331,0.0,0.0,0.0,Sandro Tonali,80.0,6.0,26.0,False,True,False,False,False,False,False,False,True,False,False,False,False,CM,eng Premier League,58.12,28.68,69.26,-21.88
Pau Torres,Aston Villa,29.0,DF,3883.0,0.0,0.0,0.010001367708404568,0.0020002735416809136,0.39543869247076524,0.06616289407098407,0.8001094166723655,1.9402653354304866,0.42005744375299187,0.48775900977911507,1.5002051562606853,0.08001094166723655,0.0,0.0,0.0,Pau Torres,20.0,2.0,29.0,False,True,False,False,False,False,True,False,False,False,False,False,False,CB,eng Premier League,14.67,6.1,21.43,-5.33
