Rk,player,Nation,Pos,Squad,league,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Rk_sht,Nation_sht,Pos_sht,Age_sht,Born_sht,90s_sht,Gls_sht,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_sht,PKatt_sht,Matches_sht
254,Maximilian Beier,de GER,"FW,MF",Hoffenheim,de Bundesliga,20,2002,33,29,2420,26.9,16,1,17,16,0,0,0,0,0.60,0.04,0.63,0.60,0.63,Matches,254,de GER,"FW,MF",20,2002,26.9,16,82,39,47.6,3.05,1.45,0.20,0.41,0,0,Matches
258,Amari'i Bell,jm JAM,DF,Luton Town,eng Premier League,29,1994,21,21,1720,19.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,258,jm JAM,DF,29,1994,19.1,0,2,2,100.0,0.10,0.10,0.00,0.00,0,0,Matches
259,Stefan Bell,de GER,DF,Mainz 05,de Bundesliga,31,1991,10,8,666,7.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,259,de GER,DF,31,1991,7.4,0,4,2,50.0,0.54,0.27,0.00,0.00,0,0,Matches
260,Alaa Bellaarouch,ma MAR,GK,Strasbourg,fr Ligue 1,21,2002,15,15,1350,15.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,260,ma MAR,GK,21,2002,15.0,0,0,0,,0.00,0.00,,,0,0,Matches
261,Raoul Bellanova,it ITA,MF,Torino,it Serie A,23,2000,37,36,3046,33.8,1,7,8,1,0,0,5,0,0.03,0.21,0.24,0.03,0.24,Matches,261,it ITA,MF,23,2000,33.8,1,32,3,9.4,0.95,0.09,0.03,0.33,0,0,Matches
262,Jean-Ricner Bellegarde,ht HAI,"MF,FW",Wolves,eng Premier League,25,1998,22,10,958,10.6,2,1,3,2,0,0,0,1,0.19,0.09,0.28,0.19,0.28,Matches,262,ht HAI,"MF,FW",25,1998,10.6,2,15,5,33.3,1.41,0.47,0.13,0.40,0,0,Matches
264,Héctor Bellerín,es ESP,DF,Real Betis,es La Liga,28,1995,23,20,1711,19.0,0,1,1,0,0,0,0,1,0.00,0.05,0.05,0.00,0.05,Matches,264,es ESP,DF,28,1995,19.0,0,2,0,0.0,0.11,0.00,0.00,,0,0,Matches
265,Jude Bellingham,eng ENG,"MF,FW",Real Madrid,es La Liga,20,2003,28,27,2315,25.7,19,6,25,18,1,1,5,1,0.74,0.23,0.97,0.70,0.93,Matches,265,eng ENG,"MF,FW",20,2003,25.7,19,63,35,55.6,2.45,1.36,0.30,0.54,1,1,Matches
266,Jeanuël Belocian,fr FRA,DF,Rennes,fr Ligue 1,18,2005,23,16,1448,16.1,0,1,1,0,0,0,0,0,0.00,0.06,0.06,0.00,0.06,Matches,266,fr FRA,DF,18,2005,16.1,0,3,0,0.0,0.19,0.00,0.00,,0,0,Matches
267,Andrea Belotti,it ITA,FW,Fiorentina,it Serie A,29,1993,15,11,949,10.5,3,0,3,3,0,0,0,0,0.28,0.00,0.28,0.28,0.28,Matches,267,it ITA,FW,29,1993,10.5,3,32,9,28.1,3.03,0.85,0.09,0.33,0,0,Matches
